NumberOfThread,Frequency,MethodName,WallClockTime,CpuTime,UserModeTime,KernelModeTime,DramEnergy0,CPUEnergy0,PackageEnergy0,DramPower0,CPUPower0,PackagePower0,DramEnergySD0,CPUEnergySD0,PackageEnergySD0,DramEnergy1,CPUEnergy1,PackageEnergy1,DramPower1,CPUPower1,PackagePower1,DramEnergySD1,CPUEnergySD1,PackageEnergySD1,WallClockTimeSD,TotalPkgEnergy,TotalDramEnergy,TotalEnergy,TotalPkgPow,TotalDramPow
32,ondemand,xalan_modified,4.99,0.05,0.05,0,53.26,227.42,297.8,10.68,45.55,59.66,2.117801616,13.1996180102,16.4076680919,37.74,126.21,197.24,7.56,25.55,39.79,1.7380323909,21.3940852724,18.0697578663,0.2384913588,,,,,
32,ondemand,xalan_original,4.83,0.04,0.04,0,51.64,220.17,288.41,10.68,45.55,59.67,0.9643523483,4.1621435522,5.2971440439,36.7,143.89,212.75,7.59,29.8,44.04,0.5099920313,7.9671368362,7.3364153255,0.0814751164,,,,,
32,2.6,xalan_original,4.62,0.04,0.03,0,50.09,218.94,284.18,10.84,47.39,61.51,0.210278401,3.573355878,3.8017872684,35.41,158.21,224.26,7.67,34.25,48.55,0.3018119808,3.4640843774,3.3329959813,0.0259651563,,,,,
32,2.4,xalan_original,5.07,0.05,0.05,0,54.4,167.39,239,10.72,33,47.11,0.6267962065,3.2473685006,3.6461147536,38.01,130.79,203.13,7.49,25.78,40.03,0.4545605903,5.0061391078,5.6185851325,0.0430755977,,,,,
32,2.2,xalan_original,5.46,0.05,0.05,0,57.71,159.93,236.67,10.58,29.31,43.37,0.9125724404,3.3868316131,4.509771015,41.23,121.45,199.3,7.55,22.26,36.53,0.8091850018,0.7616318876,1.373752271,0.106007095,,,,,
32,2,xalan_original,5.81,0.05,0.05,0,60.95,148.87,230.63,10.48,25.6,39.67,0.6558731427,3.1702642689,3.9171274504,43.46,116.77,199.54,7.47,20.09,34.32,0.4158969964,0.9530200477,1.2735633034,0.0591311942,,,,,
32,1.8,xalan_original,5.91,0.06,0.06,0,61.45,129.82,213.03,10.39,21.95,36.02,0.4733052807,0.8104399066,1.8912515012,43.89,107.81,191.94,7.42,18.23,32.46,0.4846066795,1.3338508817,1.7565885238,0.0844316,,,,,
32,1.6,xalan_original,6.57,0.06,0.06,0,66.93,127.73,220.02,10.18,19.43,33.46,0.7974124878,2.7659150463,3.9727160951,49.07,105.26,198.69,7.46,16.02,30.23,0.9039379415,1.8173640965,1.0522889917,0.1057080575,,,,,
32,1.4,xalan_original,6.97,0.08,0.08,0,71.18,113.12,210.87,10.22,16.24,30.27,0.5771411813,1.0405979963,1.101450432,51.72,98.51,197.3,7.42,14.14,28.32,0.2866775243,0.9160848882,0.9852170632,0.0278925829,,,,,
32,1.2,xalan_original,7.94,0.09,0.09,0,79.78,107.25,218.18,10.05,13.51,27.49,0.2915281358,1.0570554129,1.7830897899,58.31,95.12,207.43,7.35,11.99,26.14,0.8242257436,0.7213558127,0.3822110003,0.0590337949,,,,,
32,2.6,xalan_modified,4.6,0.03,0.03,0,50.81,216.16,281.23,11.05,47,61.15,0.1858304632,2.0713896611,2.2059820323,34.77,155.33,220.99,7.56,33.78,48.06,0.0982557304,2.8531435517,2.7484705725,0.0108713007,,,,,
32,2.4,xalan_modified,5.16,0.04,0.04,0,55.1,170.28,242.99,10.68,32.99,47.08,0.7155270967,5.5585495942,6.5445353384,38.86,129.72,203.35,7.53,25.14,39.41,0.7238876642,0.9696461606,1.0743636514,0.083383131,,,,,
32,2.2,xalan_modified,5.45,0.05,0.05,0,57.25,160.71,237.33,10.5,29.48,43.54,0.6784835627,1.8367677161,2.6980876084,41.2,121.51,199.29,7.56,22.29,36.56,0.3773383214,1.2185378918,1.3040911209,0.0629538245,,,,,
32,2,xalan_modified,5.78,0.05,0.05,0,60.15,147.11,228.34,10.42,25.47,39.54,0.2766622553,2.028566639,2.6367672169,42.96,116.2,198.35,7.44,20.12,34.35,0.6663300299,1.1320172391,1.5555087436,0.0536020637,,,,,
32,1.8,xalan_modified,6.15,0.06,0.06,0,63.52,138.7,224.92,10.34,22.57,36.6,0.8856873683,2.2284616778,3.4539061437,45.81,109.42,196.86,7.45,17.81,32.04,0.6006160989,0.5518092874,1.6633651481,0.0900065519,,,,,
32,1.6,xalan_modified,6.6,0.06,0.06,0,68.03,126.18,218.74,10.31,19.13,33.16,0.9494794346,0.7598860587,1.5026188332,48.63,104.72,198.29,7.37,15.87,30.06,0.4552316889,2.3576855796,3.4144625169,0.0787940402,,,,,
32,1.4,xalan_modified,7.15,0.07,0.07,0,72.64,116.05,216.2,10.16,16.23,30.24,0.5164158159,2.2281652751,2.5331955079,53.25,100.02,201.43,7.45,13.99,28.17,0.0951072659,1.8565461376,1.5639230157,0.0280568885,,,,,
32,1.2,xalan_modified,8.13,0.09,0.09,0,81.19,110.71,224.23,9.98,13.61,27.57,0.5027704571,1.008100228,1.6212659422,59.77,92.67,207.82,7.35,11.39,25.55,0.4201312234,0.5653509462,1.1977214186,0.0564490733,,,,,
